number,name,region,weight,height,type1,type2,height,Evolution,Evolution2,Evolution3,Evolution4,Evolution5,Evolution6,Evolution7,Evolution8,EV Method,EV Method2,EV Method3,EV Method4,EV Method5,EV Method6,EV Method7,EV Method8,EV Stage,"R,B,Y","G,S,C","R,S,E","FR,LG","D,P,P","HG,SS","B,W,B2,W2","X,Y","OR,AS","S,M,US,UM","LGP,LGE","S,S",Entry Red,Entry Blue,Entry Yellow,Entry Gold,Entry Silver,Entry Crystal,Entry Ruby,Entry Saphire,Entry Emerald,Entry Fire Red,Entry Leaf Green,Entry Diamond,Entry Pearl,Entry Platinum,Entry Heart Gold,Entry Soul Silver,Entry Black,Entry White,Entry Black 2,Entry White 2,Entry X,Entry Y,Entry Omega Ruby,Entry Alpha Saphire,Entry Sun,Entry Moon,Entry Ultra Sun,Entry Ultra Moon,Entry Let's Go Pikachu,Entry Let's Go Eevee,Entry Sword,Entry Shield
109,koffing,Kanto,2.2,"2'00""",poison,,2,weezing,weezing,,,,,,,35 with a non galar koffing,35 with a galar koffing,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,weezing,Kanto,20.9,"3'11""",poison,,3.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.1,weezing,Galar,35.3,"9'10""",poison,fairy,9.1,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,rhyhorn,Kanto,253.5,"3'03""",ground,rock,3.03,rhydon,,,,,,,,42,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,rhydon,Kanto,264.6,"6'03""",ground,rock,6.03,rhyperior,,,,,,,,trade with protector,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,chansey,Kanto,76.3,"3'07""",normal,,3.07,blissey,,,,,,,,lvl+ with friendship,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,tangela,Kanto,77.2,"3'03""",grass,,3.03,tangrowth,,,,,,,,lvl+ ancient power,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,kangaskhan,Kanto,176.4,"7'03""",normal,,7.03,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,horsea,Kanto,17.6,"1'04""",water,,1.04,seadra,,,,,,,,32,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,seadra,Kanto,55.1,"3'11""",water,,3.11,kingdra,,,,,,,,trade with dragon scale,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,goldeen,Kanto,33.1,"2'00""",water,,2,seaking,,,,,,,,33,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,seaking,Kanto,86,"4'03""",water,,4.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,staryu,Kanto,76.1,"2'07""",water,,2.07,starmie,,,,,,,,water stone,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,starmie,Kanto,176.4,"3'07""",water,psychic,3.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,mr. mime,Kanto,120.2,"4'03""",psychic,fairy,4.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.1,mr. mime,Galar,125.2,"4'07""",ice,psychic,4.07,mr. rime,,,,,,,,42,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,scyther,Kanto,123.5,"4'11""",bug,flying,4.11,scizor,,,,,,,,trade with metal coat,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,jynx,Kanto,89.5,"4'07""",ice,psychic,4.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,electabuzz,Kanto,66.1,"3'07""",electric,,3.07,electrivire,,,,,,,,trade with electirizer,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,magmar,Kanto,98.1,"4'03""",fire,,4.03,magmortar,,,,,,,,trade with magmarizer,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,pinsir,Kanto,121.3,"4'11""",bug,,4.11,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,tauros,Kanto,194.9,"4'07""",normal,,4.07,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,magikarp,Kanto,22,"2'11""",water,,2.11,gyarados,,,,,,,,20,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,gyarados,Kanto,518.1,"21'04""",water,flying,21.04,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,lapras,Kanto,485,"8'02""",water,ice,8.04,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,ditto,Kanto,8.8,"1'00""",normal,,1,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,eevee,Kanto,14.3,"1'00""",normal,,1,vaporeon,jolteon,flareon,espeon,umbreon,leafeon,glaceon,sylveon,water stone,thunderstone,fire stone,lvl+ with friendship at day,lvl+ with friendship at night,leaf stone,ice stone,lvl+ with love and fairy move,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,vaporeon,Kanto,63.9,"3'03""",water,,3.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,jolteon,Kanto,54,"2'07""",electric,,2.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,flareon,Kanto,55.1,"2'11""",fire,,2.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,porygon,Kanto,80.5,"2'07""",normal,,2.07,porygon2,,,,,,,,trade with up-grade,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,omanyte,Kanto,16.5,"1'04""",rock,water,1.04,omastar,,,,,,,,40,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,omastar,Kanto,77.2,"3'03""",rock,water,3.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,kabuto,Kanto,25.4,"1'08""",rock,water,1.08,kabutops,,,,,,,,40,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,kabutops,Kanto,89.3,"4'03""",rock,water,4.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,aerodactyl,Kanto,130.1,"5'11""",rock,flying,5.11,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,snorlax,Kanto,1014.1,"6'11""",normal,,6.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,articuno,Kanto,122.1,"5'07""",ice,flying,5.07,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.1,articuno,Galar,112.2,"5'07""",psychic,flying,5.07,,,,,,,,,,,,,,,,,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,zapdos,Kanto,116,"5'03""",electric,flying,5.03,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.1,zapdos,Galar,128.3,"5'03""",fighting,flying,5.03,,,,,,,,,,,,,,,,,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,moltres,Kanto,132.3,"6'07""",fire,flying,6.07,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.1,moltres,Galar,145.5,"6'07""",dark,flying,6.07,,,,,,,,,,,,,,,,,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,dratini,Kanto,7.3,"5'11""",dragon,,5.11,dragonair,,,,,,,,30,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,dragonair,Kanto,36.4,"13'01""",dragon,,13.01,dragonite,,,,,,,,55,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,dragonite,Kanto,463,"7'03""",dragon,flying,7.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,mewtwo,Kanto,269,"6'07""",psychic,,6.07,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,mew,Kanto,8.8,"1'04""",psychic,,1.04,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,chikorita,Johto,14.1,"2'11""",grass,,2.11,bayleef,,,,,,,,16,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,bayleef,Johto,34.8,"3'11""",grass,,3.11,meganium,,,,,,,,32,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,meganium,Johto,221.6,"5'11""",grass,,5.11,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,cyndaquil,Johto,17.4,"1'08""",fire,,1.08,quilava,,,,,,,,14,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,quilava,Johto,41.9,"2'11""",fire,,2.11,typhlosion,,,,,,,,36,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,typhlosion,Johto,175.3,"5'07""",fire,,5.07,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,totodile,Johto,20.9,"2'00""",water,,2,croconaw,,,,,,,,18,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,croconaw,Johto,55.1,"3'07""",water,,3.07,feraligatr,,,,,,,,30,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,feraligatr,Johto,195.8,"7'07""",water,,7.07,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,sentret,Johto,13.2,"2'07""",normal,,2.07,furret,,,,,,,,15,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,furret,Johto,71.6,"5'11""",normal,,5.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,hoothoot,Johto,46.7,"2'04""",normal,flying,2.04,noctowl,,,,,,,,20,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,noctowl,Johto,89.9,"5'03""",normal,flying,5.03,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,ledyba,Johto,23.8,"3'03""",bug,flying,3.03,ledian,,,,,,,,18,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ledian,Johto,78.5,"4'07""",bug,flying,4.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,spinarak,Johto,18.7,"1'08""",bug,poison,1.08,ariados,,,,,,,,22,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,ariados,Johto,73.9,"3'07""",bug,poison,3.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,crobat,Johto,165.3,"5'11""",poison,flying,5.11,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,chinchou,Johto,26.5,"1'08""",water,electric,1.08,lanturn,,,,,,,,27,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,lanturn,Johto,49.6,"3'11""",water,electric,3.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,pichu,Johto,4.4,"1'00""",electric,,1,pikachu,,,,,,,,lvl+ with friendship,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,cleffa,Johto,6.6,"1'00""",fairy,,1,clefairy,,,,,,,,lvl+ with friendship,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,igglybuff,Johto,2.2,"1'00""",normal,fairy,1,jigglypuff,,,,,,,,lvl+ with friendship,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,togepi,Johto,3.3,"1'00""",fairy,,1,togetic,,,,,,,,lvl+  with friendship,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,togetic,Johto,7.1,"2'00""",fairy,flying,2,togekiss,,,,,,,,shiny stone,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,natu,Johto,4.4,"0'08""",psychic,flying,0.08,xatu,,,,,,,,25,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,xatu,Johto,33.1,"4'11""",psychic,flying,4.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,mareep,Johto,17.2,"2'00""",electric,,2,flaafy,,,,,,,,15,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,flaafy,Johto,29.3,"2'07""",electric,,2.07,ampharos,,,,,,,,30,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,ampharos,Johto,135.6,"4'07""",electric,,4.07,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,bellossom,Johto,12.8,"1'04""",grass,,1.04,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,marill,Johto,18.7,"1'04""",water,fairy,1.04,azumarill,,,,,,,,18,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,azumarill,Johto,62.8,"2'07""",water,fairy,2.07,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,sudowoodo,Johto,83.8,"3'11""",rock,,3.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,politoed,Johto,74.7,"3'07""",water,,3.07,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,hoppip,Johto,1.1,"1'04""",grass,flying,1.04,skiploom,,,,,,,,18,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,skiploom,Johto,2.2,"2'00""",grass,flying,2,jumpluff,,,,,,,,27,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,jumpluff,Johto,6.6,"2'07""",grass,flying,2.07,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,aipom,Johto,25.4,"2'07""",normal,,2.07,ambipom,,,,,,,,lvl+ with double hit,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,sunkern,Johto,4,"1'00""",grass,,1,sunflora,,,,,,,,sun stone,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,sunflora,Johto,18.7,"2'07""",grass,,2.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,yanma,Johto,83.8,"3'11""",bug,flying,3.11,yanmega,,,,,,,,lvl+ with ancient power,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,wooper,Johto,18.7,"1'04""",water,ground,1.04,quagsire,,,,,,,,20,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,quagsire,Johto,165.3,"4'07""",water,ground,4.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,espeon,Johto,58.4,"2'11""",psychic,,2.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,umbreon,Johto,59.5,"3'03""",dark,,3.03,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,murkrow,Johto,4.6,"1'08""",dark,flying,1.08,honchkrow,,,,,,,,dusk stone,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,slowking,Johto,175.3,"6'07""",water,psychic,6.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.1,slowking,Galar,175.3,"5'11""",poison,psychic,5.11,,,,,,,,,,,,,,,,,2,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,misdreavus,Johto,2.2,"2'04""",ghost,,2.04,mismagius,,,,,,,,dusk stone,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,unown,Johto,11,"1'08""",psychic,,1.08,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,wobbuffet,Johto,62.8,"4'03""",psychic,,4.03,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,girafarig,Johto,91.5,"4'11""",normal,psychic,4.11,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,pineco,Johto,15.9,"2'00""",bug,,2,forretress,,,,,,,,31,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,forretress,Johto,277.3,"3'11""",bug,steel,3.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,dunsparce,Johto,30.9,"4'11""",normal,,4.11,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,gligar,Johto,142.9,"3'07""",ground,flying,3.07,gliscor,,,,,,,,lvl+ at night holding razor fang,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,steelix,Johto,881.8,"30'02""",steel,ground,30.02,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,snubbull,Johto,17.2,"2'00""",fairy,,2,granbull,,,,,,,,23,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,granbull,Johto,107.4,"4'07""",fairy,,4.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,qwilfish,Johto,8.6,"1'08""",water,poison,1.08,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,scizor,Johto,260.1,"5'11""",bug,steel,5.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,shuckle,Johto,45.2,"2'00""",bug,rock,2,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,heracross,Johto,119,"4'11""",bug,fighting,4.11,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,sneasel,Johto,61.7,"2'11""",dark,ice,2.11,weavile,,,,,,,,lvl+ at night holding razor claw,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,teddiursa,Johto,19.4,"2'00""",normal,,2,ursaring,,,,,,,,30,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,ursaring,Johto,277.3,"5'11""",normal,,5.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,slugma,Johto,77.2,"2'04""",fire,,2.04,magcargo,,,,,,,,38,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,magcargo,Johto,121.3,"2'07""",fire,rock,2.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,swinub,Johto,14.3,"1'04""",ice,ground,1.04,piloswine,,,,,,,,33,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,piloswine,Johto,123,"3'07""",ice,ground,3.07,mamoswine,,,,,,,,lvl+ with ancient power,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,corsola,Johto,11,"2'00""",water,rock,2,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.1,corsola,Galar,13.9,"1'00""",ghost,,1,cursola,,,,,,,,38,,,,,,,,1,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,remoraid,Johto,26.5,"2'00""",water,,2,octillery,,,,,,,,25,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,octillery,Johto,62.8,"2'11""",water,,2.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,delibird,Johto,35.3,"2'11""",ice,flying,2.11,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,mantine,Johto,485,"6'11""",water,flying,6.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,skarmory,Johto,111.3,"5'07""",steel,flying,5.07,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,houndour,Johto,23.8,"2'00""",dark,fire,2,houndoom,,,,,,,,24,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,houndoom,Johto,77.2,"4'07""",dark,fire,4.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,kingdra,Johto,335.1,"5'11""",water,dragon,5.11,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,phanpy,Johto,73.9,"1'08""",ground,,1.08,donphan,,,,,,,,25,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,donphan,Johto,264.6,"3'07""",ground,,3.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,porygon2,Johto,71.3,"2'00""",normal,,2,porygon-Z,,,,,,,,trade with dubious disc,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,stantler,Johto,157,"4'07""",normal,,4.07,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,smeargle,Johto,127.9,"3'11""",normal,,3.11,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,tyrogue,Johto,46.3,"2'04""",fighting,,2.04,hitmonlee,hitmonchan,hitmontop,,,,,,20 with attack higher than defense,20 with defense higher than attack,20 with attack equal to defense,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,hitmontop,Johto,105.8,"4'07""",fighting,,4.07,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,smoochum,Johto,13.2,"1'04""",ice,psychic,1.04,jynx,,,,,,,,30,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
